image_id,split_name,split_role,skin_tone_group,mask_path,image_path,image_available
000044,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000044.npy,,False
000260,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000260.npy,,False
000261,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000261.npy,,False
000265,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000265.npy,,False
000270,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000270.npy,,False
000273,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000273.npy,,False
000274,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000274.npy,,False
000275,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000275.npy,,False
000278,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000278.npy,,False
000280,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000280.npy,,False
000283,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000283.npy,,False
000284,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000284.npy,,False
000288,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000288.npy,,False
000292,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000292.npy,,False
000294,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000294.npy,,False
000303,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000303.npy,,False
000304,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000304.npy,,False
000305,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000305.npy,,False
000307,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000307.npy,,False
000308,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000308.npy,,False
000311,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000311.npy,,False
000314,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000314.npy,,False
000317,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000317.npy,,False
000321,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000321.npy,,False
000323,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000323.npy,,False
000326,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000326.npy,,False
000330,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000330.npy,,False
000335,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000335.npy,,False
000346,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000346.npy,,False
000349,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000349.npy,,False
000354,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000354.npy,,False
000355,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000355.npy,,False
000358,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000358.npy,,False
000366,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000366.npy,,False
000370,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000370.npy,,False
000371,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000371.npy,,False
000373,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000373.npy,,False
000375,test_light,test,FST_I_II_Light,/tmp/fedd_repo/ddi_labels/testing/test_light/000375.npy,,False
